list_name	name	label	region	province	cat	dealer	dealer1	dealer2	dealer3	dealer4	dealer5	dealer6	dealer7	dealer8	dealer9
district	svaychek	Svay Chek		bmc		ppr8	bmc2								
district	thmapuok	Thma Puok		bmc		bmc2									
district	chikraeng	Chi Kraeng		sr		chk6									
district	soutrnikom	Soutr Nikom		sr		chk6									
district	svayleu	Svay Leu		sr		chk6									
district	kampongsvay	Kampong Svay		ktho		kth2									
district	prasatballangk	Prasat Ballangk		ktho		kth2									
district	prasatsambour	Prasat Sambour		ktho		kth2									
district	sandan	Sandan		ktho		ktm8	kth2								
district	santuk	Santuk		ktho		ktm8	kth2								
district	stoung	Stoung		ktho		kth2									
district	stuengsaen	Stueng Saen		ktho		kth2									
district	baray	Baray		ktho		ktm8									
district	taingkouk	Taing Kouk		ktho		ktm8									
district	phnumsrok	Phnum Srok		bmc		ppr8									
district	preahnetrpreah	Preah Netr Preah		bmc		ppr8									
district	angkorchum	Angkor Chum		sr		puk7									
district	kralanh	Kralanh		sr		puk7									
district	puok	Puok		sr		puk7									
district	siemreapd	Siem Reap		sr		puk7	srp1								
district	sreisnam	Srei Snam		sr		puk7									
district	angkorthum	Angkor Thum		sr		srp1									
district	banteaysrei	Banteay Srei		sr		srp1									
district	prasatbakong	Prasat Bakong		sr		srp1									
district	runtaaektechosen	Run Ta Aek Techo Sen		sr		srp1									
district	varin	Varin		sr		srp1									
district	batheay	Batheay		kc		bty8									
district	cheungprey	Cheung Prey		kc		bty8									
district	kangmeas	Kang Meas		kc		kcm1	bty8								
district	preychhor	Prey Chhor		kc		kcm1	bty8								
district	kampongsiem	Kampong Siem		kc		kcm1									
district	kamgcham	Kampong Cham		kc		kcm1									
district	dambae	Dambae		tkhmu		tkm2	mmt3								
district	memot	Memot		tkhmu		tkm2	mmt3								
district	ponheakraek	Ponhea Kraek		tkhmu		tkm2	mmt3								
district	chamkarleu	Chamkar Leu		kc		stt4									
district	stuengtrang	Stueng Trang		kc		stt4									
district	krouchchhmar	Krouch Chhmar		tkhmu		tkm2									
district	oureangov	Ou Reang Ov		tkhmu		tkm2									
district	suong	Suong		tkhmu		tkm2									
district	tbogkhm	Tboung Khmum		tkhmu		tkm2									
district	andoungmeas	Andoung Meas		rkir		bke7									
district	barkaev	Bar Kaev		rkir		bke7									
district	lumphat	Lumphat		rkir		rtk4	bke7								
district	ouyadav	Ou Ya Dav		rkir		bke7									
district	chetrborei	Chetr Borei		kkr		snl6	krt1								
district	chhloung	Chhloung		kkr		krt1									
district	kracheh	Kracheh		kkr		krt1									
district	oukriengsaenchey	Ou Krieng Saenchey		kkr		str3	krt1								
district	prekprasab	Prek Prasab		kkr		krt1									
district	sambour	Sambour		kkr		str3	krt1								
district	snuol	Snuol		kkr		snl6	ksa5								
district	kaevseima	Kaev Seima		mkiri		ksa5	mdk2								
district	kaohnheaek	Kaoh Nheaek		mkiri		mdk2									
district	oureang	Ou Reang		mkiri		mdk2									
district	pechchreada	Pech Chreada		mkiri		mdk2									
district	saenmonourom	Saen Monourom		mkiri		mdk2									
district	banlung	Ban Lung		rkir		rtk4									
district	kounmom	Koun Mom		rkir		rtk4									
district	ouchum	Ou Chum		rkir		rtk4									
district	taveaeng	Ta Veaeng		rkir		rtk4									
district	veunsai	Veun Sai		rkir		rtk4									
district	boreiousvaysenchey	Borei Ou Svay Senchey		streng		str3									
district	sesan	Sesan		streng		str3									
district	siembouk	Siem Bouk		streng		str3									
district	siempang	Siem Pang		streng		str3									
district	stuengtraeng	Stueng Traeng		streng		str3									
district	thalabarivat	Thala Barivat		streng		str3									
district	anlongveaeng	Anlong Veaeng		omeanc		avg4									
district	trapeangprasat	Trapeang Prasat		omeanc		avg4									
district	choamksant	Choam Ksant		pvihea		cks1									
district	cheysaen	Chey Saen		pvihea		pvh3									
district	chhaeb	Chhaeb		pvihea		pvh3									
district	kuleaen	Kuleaen		pvihea		pvh3									
district	rovieng	Rovieng		pvihea		pvh3									
district	sangkumthmei	Sangkum Thmei		pvihea		pvh3									
district	tbaengmeanchey	Tbaeng Mean Chey		pvihea		pvh3									
